datetime,volatility
2023-01-09 08:00:00,
2023-01-09 09:00:00,
2023-01-09 10:00:00,
2023-01-09 11:00:00,
2023-01-09 12:00:00,
2023-01-09 13:00:00,
2023-01-09 14:00:00,
2023-01-09 15:00:00,
2023-01-09 16:00:00,
2023-01-09 17:00:00,
2023-01-09 18:00:00,
2023-01-09 19:00:00,
2023-01-09 20:00:00,
2023-01-09 21:00:00,
2023-01-09 22:00:00,
2023-01-09 23:00:00,
2023-01-10 00:00:00,
2023-01-10 01:00:00,
2023-01-10 02:00:00,
2023-01-10 03:00:00,
2023-01-10 04:00:00,
2023-01-10 05:00:00,
2023-01-10 06:00:00,
2023-01-10 07:00:00,18.64294496026957
2023-01-10 08:00:00,18.621563099795942
2023-01-10 09:00:00,18.710576134242793
2023-01-10 10:00:00,18.71664162081867
2023-01-10 11:00:00,18.776429320180714
2023-01-10 12:00:00,18.704950177443575
2023-01-10 13:00:00,18.724512209664052
2023-01-10 14:00:00,18.925485836762913
2023-01-10 15:00:00,19.236869221713302
2023-01-10 16:00:00,19.472184611172683
2023-01-10 17:00:00,19.305132979994134
2023-01-10 18:00:00,19.470737199733573
2023-01-10 19:00:00,19.743514263736394
2023-01-10 20:00:00,20.266487859406443
2023-01-10 21:00:00,20.793688133962306
2023-01-10 22:00:00,21.447818773578717
2023-01-10 23:00:00,21.212939386028786
2023-01-11 00:00:00,20.89996354079524
2023-01-11 01:00:00,20.35456627984685
2023-01-11 02:00:00,20.38848847851254
2023-01-11 03:00:00,20.35345842790923
2023-01-11 04:00:00,20.290697272494445
2023-01-11 05:00:00,20.36106303199893
2023-01-11 06:00:00,20.372742750283674
2023-01-11 07:00:00,20.347552163459127
2023-01-11 08:00:00,20.200488706729406
2023-01-11 09:00:00,20.020228291690323
2023-01-11 10:00:00,19.81820011033647
2023-01-11 11:00:00,19.523539071151085
2023-01-11 12:00:00,19.181661734572323
2023-01-11 13:00:00,19.15332361278913
2023-01-11 14:00:00,19.526346834143958
2023-01-11 15:00:00,19.450375770546326
2023-01-11 16:00:00,19.120505616509462
2023-01-11 17:00:00,19.296256163376196
2023-01-11 18:00:00,19.592923137835424
2023-01-11 19:00:00,19.677141009507743
2023-01-11 20:00:00,19.646993267657514
2023-01-11 21:00:00,19.7874707478449
2023-01-11 22:00:00,19.589585709998214
2023-01-11 23:00:00,19.37641413969897
2023-01-12 00:00:00,19.750792246255788
2023-01-12 01:00:00,19.976010616270063
2023-01-12 02:00:00,19.992792384165856
2023-01-12 03:00:00,20.074552630742097
2023-01-12 04:00:00,20.288463961741733
2023-01-12 05:00:00,20.29759669413578
2023-01-12 06:00:00,20.29160805914114
2023-01-12 07:00:00,20.285624251933342
2023-01-12 08:00:00,20.54547054651556
2023-01-12 09:00:00,20.88153571226701
2023-01-12 10:00:00,21.211382143288922
2023-01-12 11:00:00,21.529534932420663
2023-01-12 12:00:00,21.9320686918483
2023-01-12 13:00:00,21.878642594470524
2023-01-12 14:00:00,21.599007164279733
2023-01-12 15:00:00,21.214130705521605
2023-01-12 16:00:00,21.40693122766116
2023-01-12 17:00:00,21.804577085223137
2023-01-12 18:00:00,22.177077239159907
2023-01-12 19:00:00,22.676917554096615
2023-01-12 20:00:00,23.12499179936304
2023-01-12 21:00:00,23.568462546548012
2023-01-12 22:00:00,24.023654190183947
2023-01-12 23:00:00,24.065979495785722
2023-01-13 00:00:00,23.161915076934694
2023-01-13 01:00:00,22.130458244054108
2023-01-13 02:00:00,21.467980856784447
2023-01-13 03:00:00,20.675320485688637
2023-01-13 04:00:00,19.674686588651074
2023-01-13 05:00:00,19.05664135824741
2023-01-13 06:00:00,18.841590404804172
2023-01-13 07:00:00,18.69063927771316
2023-01-13 08:00:00,19.57822617471918
2023-01-13 09:00:00,19.949515727563014
2023-01-13 10:00:00,20.145650808608348
2023-01-13 11:00:00,20.286756458364078
2023-01-13 12:00:00,20.64446083175087
2023-01-13 13:00:00,22.910281011224093
2023-01-13 14:00:00,27.10842727478602
2023-01-13 15:00:00,30.03575418114768
2023-01-13 16:00:00,30.66288494619881
2023-01-13 17:00:00,30.297231550295372
2023-01-13 18:00:00,29.344755891017755
2023-01-13 19:00:00,27.875954320271074
2023-01-13 20:00:00,26.06833388805715
2023-01-13 21:00:00,23.768642650850257
2023-01-13 22:00:00,21.366473004267444
2023-01-13 23:00:00,20.387424572166452
2023-01-14 00:00:00,22.13530910396737
2023-01-14 01:00:00,24.213772001013904
2023-01-14 02:00:00,25.437810513182786
2023-01-14 03:00:00,25.91406432930777
2023-01-14 04:00:00,25.742671963495873
2023-01-14 05:00:00,24.577856125754536
2023-01-14 06:00:00,22.91574161370761
2023-01-14 07:00:00,20.702273640552583
2023-01-14 08:00:00,22.678008183707178
2023-01-14 09:00:00,24.947672964854235
2023-01-14 10:00:00,27.43434414582373
2023-01-14 11:00:00,29.989503377210802
2023-01-14 12:00:00,32.029896338168406
2023-01-14 13:00:00,33.41121505455126
2023-01-14 14:00:00,33.04094943403926
2023-01-14 15:00:00,32.44102398872592
2023-01-14 16:00:00,33.09025823242086
2023-01-14 17:00:00,34.12255167432508
2023-01-14 18:00:00,35.07495694805504
2023-01-14 19:00:00,36.08108830449864
2023-01-14 20:00:00,37.05871993508139
2023-01-14 21:00:00,38.02571513134979
2023-01-14 22:00:00,38.79228987441383
2023-01-14 23:00:00,38.452296433246254
2023-01-15 00:00:00,35.86254460050868
2023-01-15 01:00:00,32.367072468836945
2023-01-15 02:00:00,28.935725985251985
2023-01-15 03:00:00,25.536672179947324
2023-01-15 04:00:00,22.07779071681076
2023-01-15 05:00:00,19.490408238090666
2023-01-15 06:00:00,16.596183165783856
2023-01-15 07:00:00,13.633037178403788
2023-01-15 08:00:00,13.692235402338902
2023-01-15 09:00:00,13.86735431561987
2023-01-15 10:00:00,14.111524453937434
2023-01-15 11:00:00,14.304743944752062
2023-01-15 12:00:00,14.507000702050364
2023-01-15 13:00:00,14.64248963350546
2023-01-15 14:00:00,14.677519440959198
2023-01-15 15:00:00,14.65590212666452
2023-01-15 16:00:00,14.92161379966509
2023-01-15 17:00:00,15.695261172362361
2023-01-15 18:00:00,16.657435440191108
2023-01-15 19:00:00,17.64092311295391
